 #Z (A)  proton-shared coord
  -1.1866666666666665        1.5974926971762414E-002
  -1.1733333333333333        1.8827592502434275E-002
  -1.1599999999999999        1.9968658714703019E-002
  -1.1466666666666665        2.4532923563777995E-002
  -1.1333333333333333        2.3391857351509251E-002
  -1.1200000000000001        3.0808787731256084E-002
  -1.1066666666666665        3.5373052580331063E-002
  -1.0933333333333333        3.0238254625121714E-002
  -1.0800000000000001        3.7084651898734181E-002
  -1.0666666666666667        4.1078383641674779E-002
  -1.0533333333333332        3.7655185004868551E-002
  -1.0400000000000000        5.5912244401168452E-002
  -1.0266666666666666        5.0206913339824730E-002
  -1.0133333333333332        6.5040774099318396E-002
  -1.0000000000000000        5.7053310613437193E-002
 -0.98666666666666658        6.4470240993184033E-002
 -0.97333333333333316        7.1887171372930866E-002
 -0.95999999999999996        8.0445167964946440E-002
 -0.94666666666666655        9.0144230769230768E-002
 -0.93333333333333335       0.10383702531645569     
 -0.91999999999999993        9.9272760467380719E-002
 -0.90666666666666651       0.13521634615384615     
 -0.89333333333333331       0.11695928675754626     
 -0.87999999999999989       0.15404393865628044     
 -0.86666666666666670       0.17173046494644595     
 -0.85333333333333328       0.19169912366114897     
 -0.83999999999999986       0.19055805744888024     
 -0.82666666666666666       0.22707217624148004     
 -0.81333333333333324       0.21965524586173321     
 -0.79999999999999982       0.27727908958130476     
 -0.78666666666666663       0.28926028481012656     
 -0.77333333333333321       0.31094054284323269     
 -0.76000000000000001       0.33090920155793574     
 -0.74666666666666659       0.36514118792599803     
 -0.73333333333333317       0.41078383641674782     
 -0.71999999999999997       0.44273369036027266     
 -0.70666666666666655       0.50777446445959107     
 -0.69333333333333336       0.54828231499513147     
 -0.67999999999999994       0.57224470545277506     
 -0.66666666666666652       0.57795003651411880     
 -0.65333333333333332       0.65326040652385586     
 -0.63999999999999990       0.66353000243427462     
 -0.62666666666666648       0.75481529941577408     
 -0.61333333333333329       0.76565542843232715     
 -0.59999999999999987       0.79988741480038950     
 -0.58666666666666667       0.81871500730282376     
 -0.57333333333333325       0.88546738072054532     
 -0.55999999999999983       0.89117271178188895     
 -0.54666666666666663       0.91399403602726392     
 -0.53333333333333321       0.90885923807205449     
 -0.51999999999999980       0.92768683057448875     
 -0.50666666666666660       0.91684670155793568     
 -0.49333333333333318       0.96420094936708856     
 -0.47999999999999998       0.94252069133398242     
 -0.46666666666666656       0.90600657254138262     
 -0.45333333333333314       0.91570563534566696     
 -0.43999999999999995       0.88033258276533588     
 -0.42666666666666653       0.89288431110029209     
 -0.41333333333333333       0.87519778481012656     
 -0.39999999999999991       0.78048928919182081     
 -0.38666666666666649       0.78733568646543328     
 -0.37333333333333329       0.73256450827653363     
 -0.35999999999999988       0.76109116358325224     
 -0.34666666666666646       0.70118518743914315     
 -0.33333333333333326       0.63842654576436220     
 -0.31999999999999984       0.60533562560856868     
 -0.30666666666666664       0.56482777507302828     
 -0.29333333333333322       0.56539830817916259     
 -0.27999999999999980       0.52431992453748788     
 -0.26666666666666661       0.47867727604673810     
 -0.25333333333333319       0.43360516066212268     
 -0.23999999999999999       0.42219449853943525     
 -0.22666666666666657       0.44159262414800388     
 -0.21333333333333315       0.44159262414800388     
 -0.19999999999999996       0.38682144595910417     
 -0.18666666666666654       0.38853304527750732     
 -0.17333333333333312       0.36799385345666991     
 -0.15999999999999992       0.34174933057448881     
 -0.14666666666666650       0.31664587390457644     
 -0.13333333333333330       0.31094054284323269     
 -0.11999999999999988       0.30010041382667962     
 -0.10666666666666647       0.30295307935735150     
